metro_rural, distance_to_melbourne, dh_region, lga_code, lga, pfi, lga_name
"Rural","278.6","Loddon Mallee",22250,"GANNAWARRA","321","GANNAWARRA"
"Metro","45.5","Southern Metropolitan",21610,"CASEY","312","CASEY"
"Rural","149.1","Barwon-South Western",21750,"COLAC OTWAY","314","COLAC OTWAY"
"Rural","252.2","Loddon Mallee",23940,"LODDON","338","LODDON"
"Rural","354.1","Barwon-South Western",22410,"GLENELG","323","GLENELG"
"Rural","282.5","Barwon-South Western",25490,"MOYNE","354","MOYNE"
"Rural","193.0","Barwon-South Western",21830,"CORANGAMITE","315","CORANGAMITE"
"Rural","331.2","Grampians",27630,"YARRIAMBIACK","378","YARRIAMBIACK"
"Metro","8.1","North & West Metropolitan",25250,"MORELAND","351","MORELAND"
"Rural","367.6","Grampians",22980,"HINDMARSH","330","HINDMARSH"
"Rural","293.0","Grampians",23190,"HORSHAM","332","HORSHAM"
"Metro","22.0","Eastern Metropolitan",26980,"WHITEHORSE","372","WHITEHORSE"
"Metro","NA","North & West Metropolitan",24600,"MELBOURNE","343","MELBOURNE"
"Rural","102.5","Gippsland",20830,"BAW BAW","305","BAW BAW"
"Rural","302.2","Hume",27170,"WODONGA","374","WODONGA"
"Rural","268.9","Hume",23350,"INDIGO","334","INDIGO"
"Metro","20.1","North & West Metropolitan",20660,"BANYULE","303","BANYULE"
"Rural","288.1","Barwon-South Western",26260,"SOUTHERN GRAMPIANS","362","SOUTHERN GRAMPIANS"
"Metro","7.3","Eastern Metropolitan",21110,"BOROONDARA","307","BOROONDARA"
"Metro","17.6","North & West Metropolitan",21180,"BRIMBANK","308","BRIMBANK"
"Rural","165.0","Loddon Mallee",21670,"CENTRAL GOLDFIELDS","313","CENTRAL GOLDFIELDS"
"Metro","12.9","North & West Metropolitan",21890,"DAREBIN","316","DAREBIN"
"Rural","275.1","Gippsland",22110,"EAST GIPPSLAND","319","EAST GIPPSLAND"
"Metro","42.8","Southern Metropolitan",22170,"FRANKSTON","320","FRANKSTON"
"Metro","17.0","Southern Metropolitan",22310,"GLEN EIRA","322","GLEN EIRA"
"Rural","150.4","Loddon Mallee",22620,"GREATER BENDIGO","325","GREATER BENDIGO"
"Metro","28.2","Southern Metropolitan",22670,"GREATER DANDENONG","326","GREATER DANDENONG"
"Rural","174.8","Hume",22830,"GREATER SHEPPARTON","328","GREATER SHEPPARTON"
"Metro","30.4","Eastern Metropolitan",24410,"MAROONDAH","342","MAROONDAH"
"Rural","108.4","Grampians",22910,"HEPBURN","329","HEPBURN"
"Metro","27.5","North & West Metropolitan",27260,"WYNDHAM","375","WYNDHAM"
"Metro","43.6","North & West Metropolitan",23270,"HUME","333","HUME"
"Metro","22.4","North & West Metropolitan",23110,"HOBSONS BAY","331","HOBSONS BAY"
"Metro","19.5","Southern Metropolitan",23430,"KINGSTON","335","KINGSTON"
"Rural","95.3","Barwon-South Western",26490,"SURF COAST","365","SURF COAST"
"Rural","171.6","Hume",24250,"MANSFIELD","382","MANSFIELD"
"Rural","55.6","Loddon Mallee",24130,"MACEDON RANGES","339","MACEDON RANGES"
"Rural","148.7","Hume",26430,"STRATHBOGIE","364","STRATHBOGIE"
"Metro","9.0","North & West Metropolitan",24330,"MARIBYRNONG","341","MARIBYRNONG"
"Rural","389.3","Grampians",26890,"WEST WIMMERA","371","WEST WIMMERA"
"Metro","22.5","Eastern Metropolitan",24970,"MONASH","348","MONASH"
"Rural","120.1","Loddon Mallee",25430,"MOUNT ALEXANDER","353","MOUNT ALEXANDER"
"Metro","23.6","North & West Metropolitan",25710,"NILLUMBIK","356","NILLUMBIK"
"Metro","6.4","Southern Metropolitan",25900,"PORT PHILLIP","358","PORT PHILLIP"
"Metro","13.2","Southern Metropolitan",26350,"STONNINGTON","363","STONNINGTON"
"Rural","338.8","Loddon Mallee",26610,"SWAN HILL","366","SWAN HILL"
"Rural","131.7","Gippsland",26170,"SOUTH GIPPSLAND","361","SOUTH GIPPSLAND"
"Rural","101.4","Barwon-South Western",26080,"QUEENSCLIFFE","360","QUEENSCLIFFE"
"Rural","254.7","Barwon-South Western",26730,"WARRNAMBOOL","369","WARRNAMBOOL"
"Metro","20.2","Eastern Metropolitan",24210,"MANNINGHAM","340","MANNINGHAM"
"Metro","21.7","North & West Metropolitan",27070,"WHITTLESEA","373","WHITTLESEA"
"Rural","205.9","Loddon Mallee",21370,"CAMPASPE","310","CAMPASPE"
"Metro","4.3","North & West Metropolitan",27350,"YARRA","376","YARRA"
"Metro","11.7","Southern Metropolitan",20910,"BAYSIDE","306","BAYSIDE"
"Metro","59.7","Southern Metropolitan",21450,"CARDINIA","311","CARDINIA"
"Metro","38.8","North & West Metropolitan",24650,"MELTON","344","MELTON"
"Rural","234.1","Hume",26700,"WANGARATTA","368","WANGARATTA"
"Rural","274.8","Hume",20110,"ALPINE","300","ALPINE"
"Rural","195.9","Hume",21010,"BENALLA","381","BENALLA"
"Rural","212.4","Gippsland",26810,"WELLINGTON","370","WELLINGTON"
"Rural","414.9","Hume",26670,"TOWONG","367","TOWONG"
"Metro","9.0","North & West Metropolitan",25060,"MOONEE VALLEY","349","MOONEE VALLEY"
"Rural","163.7","Gippsland",23810,"LATROBE","337","LATROBE"
"Metro","52.9","Southern Metropolitan",25340,"MORNINGTON PENINSULA","352","MORNINGTON PENINSULA"
"Rural","131.0","Gippsland",20740,"BASS COAST","304","BASS COAST"
"Rural","52.8","Grampians",25150,"MOORABOOL","350","MOORABOOL"
"Rural","73.0","Barwon-South Western",22750,"GREATER GEELONG","327","GREATER GEELONG"
"Rural","197.5","Grampians",20260,"ARARAT","301","ARARAT"
"Rural","228.1","Grampians",25810,"NORTHERN GRAMPIANS","357","NORTHERN GRAMPIANS"
"Rural","110.5","Grampians",20570,"BALLARAT","302","BALLARAT"
"Rural","273.6","Loddon Mallee",21270,"BULOKE","309","BULOKE"
"Rural","86.3","Grampians",22490,"GOLDEN PLAINS","324","GOLDEN PLAINS"
"Rural","155.7","Grampians",25990,"PYRENEES","359","PYRENEES"
"Rural","97.0","Hume",24850,"MITCHELL","346","MITCHELL"
"Rural","128.2","Hume",25620,"MURRINDINDI","355","MURRINDINDI"
"Metro","30.6","Eastern Metropolitan",23670,"KNOX","336","KNOX"
"Metro","34.6","Eastern Metropolitan",27450,"YARRA RANGES","377","YARRA RANGES"
"Rural","256.6","Hume",24900,"MOIRA","347","MOIRA"
"Rural","540.3","Loddon Mallee",24780,"MILDURA","345","MILDURA"
